Date,equity
2018-01-02,1.0
2018-01-03,1.0
2018-01-04,1.0
2018-01-05,1.0
2018-01-08,1.0
2018-01-09,1.0
2018-01-10,1.0
2018-01-11,1.0
2018-01-12,1.0
2018-01-16,1.0
2018-01-17,1.0
2018-01-18,1.0
2018-01-19,1.0
2018-01-22,1.0
2018-01-23,1.0
2018-01-24,1.0
2018-01-25,1.0
2018-01-26,1.0
2018-01-29,1.0
2018-01-30,1.0
2018-01-31,1.0
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-14,1.0
2018-02-15,1.0
2018-02-16,1.0
2018-02-20,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-25,0.9998333333333334
2018-04-26,1.0003979128987566
2018-04-27,1.0021616593574727
2018-04-30,1.0054294908713166
2018-05-01,1.004067874152823
2018-05-02,1.0075307543840384
2018-05-03,1.0060063021843562
2018-05-04,1.0097399348365426
2018-05-07,1.0087176837591025
2018-05-08,1.0101732532438785
2018-05-09,1.0182331301781467
2018-05-10,1.0214996959361524
2018-05-11,1.0208476895632317
2018-05-14,1.0216567591784227
2018-05-15,1.020929354892995
2018-05-16,1.0209704028668325
2018-05-17,1.0222578357172654
2018-05-18,1.0237356333986924
2018-05-21,1.024830341286623
2018-05-22,1.0240828977317225
2018-05-23,1.024596499924994
2018-05-24,1.0248784964696238
2018-05-25,1.0293466267705338
2018-05-29,1.0315723730250097
2018-05-30,1.0403350786882786
2018-05-31,1.0347437700618154
2018-06-01,1.0355943526454583
2018-06-04,1.031020154039967
2018-06-05,1.0271104042457186
2018-06-06,1.035996465024654
2018-06-07,1.0409864947636132
2018-06-08,1.0431932841325628
2018-06-11,1.0437304779855245
2018-06-12,1.0382589021296296
2018-06-13,1.0374915243693799
2018-06-14,1.026096740407386
2018-06-15,1.0250291994764473
2018-06-18,1.0258484971643609
2018-06-19,1.0272746004279782
2018-06-20,1.0252742604432672
2018-06-21,1.0284197093668812
2018-06-22,1.0228030134667319
2018-06-25,1.0296364151739477
2018-06-26,1.027347592525539
2018-06-27,1.0251310018571553
2018-06-28,1.0274453887673733
2018-06-29,1.027188089903207
2018-07-02,1.0281190316437394
2018-07-03,1.0249818339561434
2018-07-05,1.0225469358826111
2018-07-06,1.0216653713527843
2018-07-09,1.035570511027913
2018-07-10,1.0294030695546623
2018-07-11,1.0300555375903424
2018-07-12,1.0286468981573544
2018-07-13,1.0302151979316623
2018-07-16,1.0512170646690056
2018-07-17,1.0494647080382424
2018-07-18,1.0463166077125696
2018-07-19,1.050230980549459
2018-07-20,1.0542200554562533
2018-07-23,1.0552352490268906
2018-07-24,1.0538837917526191
2018-07-25,1.051899711144263
2018-07-26,1.0390187332926488
2018-07-27,1.041884201442891
2018-07-30,1.0361912448411732
2018-07-31,1.0452290644926763
2018-08-01,1.043945789068113
2018-08-02,1.0431108952620827
2018-08-03,1.0386987404258223
2018-08-06,1.0428228107705781
2018-08-07,1.0408153914812437
2018-08-08,1.0385510591552505
2018-08-09,1.040973530697455
2018-08-10,1.043865422292435
2018-08-13,1.051507638996439
2018-08-14,1.050721920098885
2018-08-15,1.0523034279643435
2018-08-16,1.0476685216555544
2018-08-17,1.0374140837349737
2018-08-20,1.0436297691787726
2018-08-21,1.0435895911785695
2018-08-22,1.0498333381345455
2018-08-23,1.0527846345542755
2018-08-24,1.0578774219600966
2018-08-27,1.057660863803236
2018-08-28,1.0576666038053888
2018-08-29,1.050618532084954
2018-08-30,1.0508618509597818
2018-08-31,1.0485260372456175
2018-09-04,1.044444368584355
2018-09-05,1.0498602204275005
2018-09-06,1.051621225973849
2018-09-07,1.048604958090596
2018-09-10,1.0518643769916503
2018-09-11,1.047731084487035
2018-09-12,1.0457724555248695
2018-09-13,1.0473314656494224
2018-09-14,1.0504069220263677
2018-09-17,1.0542768204576594
2018-09-18,1.0516548058686488
2018-09-19,1.0553567762880054
2018-09-20,1.0552230305148311
2018-09-21,1.0579252491739346
2018-09-24,1.057839644872666
2018-09-25,1.0550792640648992
2018-09-26,1.055355490646136
2018-09-27,1.0539139027403692
2018-09-28,1.0528663880260352
2018-10-01,1.053167670632728
2018-10-02,1.0540534635986714
2018-10-03,1.0577493933604742
2018-10-04,1.0593398208179854
2018-10-05,1.0601581756713936
2018-10-08,1.062463616976571
2018-10-09,1.0623407103151272
2018-10-10,1.068510355376541
2018-10-11,1.0666132890643243
2018-10-12,1.0709021060964232
2018-10-15,1.07030823317464
2018-10-16,1.0756721871364312
2018-10-17,1.0760818188302552
2018-10-18,1.074133375717773
2018-10-19,1.0766525762893304
2018-10-22,1.0769517605375964
2018-10-23,1.0766569460511617
2018-10-24,1.0765123037341486
2018-10-25,1.0779431468007072
2018-10-26,1.0733903347319689
2018-10-29,1.0703504129789836
2018-10-30,1.0623704008298689
2018-10-31,1.0732235068028233
2018-11-01,1.0811928102046977
2018-11-02,1.0821913879884213
2018-11-05,1.084047574256614
2018-11-06,1.0818854063796361
2018-11-07,1.0930577031045061
2018-11-08,1.082796699106939
2018-11-09,1.086295390443239
2018-11-12,1.0833704355844975
2018-11-13,1.08836023676685
2018-11-14,1.096970592043232
2018-11-15,1.0879609681299989
