pair,coint_p,adf_p_spread,annualized_return,sharpe,max_drawdown,win_rate,equity_start,equity_end,n_days
MA-V,0.0017416226473270496,0.000289304687480693,0.03252251716769794,0.43590171337723704,-0.14158874286441003,1.0,1.0,1.2909828340379896,2011
MA-MSFT,0.010223336040673095,0.002113713513755635,0.060158247344450855,0.44917152590833864,-0.25876091051512173,1.0,1.0,1.5939040824264241,2011
AMZN-META,0.014291113937466128,0.00308562551023974,0.03317038676285167,0.26962054973213684,-0.26350683567463284,0.9714285714285714,1.0,1.2974612864384012,2011
KO-LLY,0.022414132422666096,0.005209151180737931,-0.00819192565660709,0.0008057329339914644,-0.2846613359832839,0.9375,1.0,0.936465962435661,2011
CVX-XOM,0.03143735965689369,0.0077312486359399505,0.05175337329561458,0.4632894327350136,-0.2985357180248741,1.0,1.0,1.49581026409621,2011
NVDA-JPM,0.26980975646234856,0.11065968735102794,-0.07186478889417725,0.17434905809442802,-0.89888104070748,1.0,1.0,0.5514836306991642,2011
