Date,spread,z,position,pnl,cost,net_pnl,beta,train_mean_spread,train_std_spread,is_train,is_trade,window,asset_A,asset_B
2020-01-06,62.85063874315107,0.4733717121228575,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-07,62.97976747837673,0.48935163662134384,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-08,61.90717435117185,0.3566162144058557,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-09,61.89332473199033,0.35490229791417305,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-10,61.03527576769697,0.24871712045192182,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-13,60.857477365527046,0.22671423288656414,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-14,60.19738705538239,0.14502681219076963,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-15,59.50891511779299,0.05982711157587937,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-16,60.210745130295386,0.14667989915225602,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-17,59.49354262418915,0.0579247365025585,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-21,60.963869197131075,0.23988042268403276,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-22,60.75509770570705,0.21404455691362712,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-23,60.84805271635279,0.2255479147780025,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-24,59.97751225471177,0.11781689096218922,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-27,58.77883163426324,-0.030522096321258612,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-28,59.58079410196039,0.06872227141784473,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-29,58.99197071966391,-0.0041457325597212755,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-30,61.70696309579587,0.33183969398951074,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-01-31,69.76641802416405,1.3292124401038008,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-03,69.19409329275688,1.2583861752873688,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-04,70.61089358833595,1.4337178837039521,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-05,70.07836399383228,1.3678163421260285,0.0,-0.0,0.0,-0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-06,70.48395594702865,1.418009111209883,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-07,71.71164842758895,1.5699383708934804,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-10,74.33226839390407,1.8942450337579448,0.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-11,76.06840834490598,2.109095626752091,-1.0,0.0,0.0,0.0,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-12,75.98613077996671,2.0989136229296954,-1.0,0.08227756493926108,0.0,0.08227756493926108,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-13,75.118114325524,1.9914949497645114,-1.0,0.86801645444271,0.0,0.86801645444271,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
2020-02-14,74.21014499383989,1.879132032696533,-1.0,0.9079693316841144,0.0,0.9079693316841144,0.15295832219684502,59.02547107832151,8.08068493927409,0,1,5,AMZN,META
