variant,annualized_return,annualized_vol,sharpe,max_drawdown,win_rate_daily,equity_start,equity_end,n_days
static_ols,878292232.4660997,27.82864639174488,0.43808456790255224,-2845.701812494048,0.2171837708830549,1.0,1.672810082049922e+89,2515
rolling_ols,6.662450844009995e+23,40.38048987983472,-3.130963968968228,-52647982067294.91,0.26450020567667626,,6.644123363391178e+229,2515
kalman,5.994546283792533,2.6544575104209263,1.4673374223095954,-2.8256873013310577,0.06801909307875895,1.0,267597566.9548835,2515
kalman + filters,5.274419483877641,1.3307968959447463,1.9295199635813431,-0.7692905519040802,0.05250596658711217,1.0,90520232.2764722,2515
