Date,pA,pB,beta,spread,z,trade_ok,position,turnover,pnl,cost,net_pnl,equity
2016-01-04,31.84950065612793,48.8682861328125,0.6517431570668233,-7.042851614968981e-05,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-05,31.68950080871582,48.95276641845703,0.6483473385370243,-0.048895012715416186,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-06,31.63249969482422,48.24610900878906,0.6538584022754876,0.08637594232839163,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-07,30.39699935913086,46.2950553894043,0.6558803754042144,0.03298105096947168,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-08,30.352500915527344,45.25807189941406,0.6667195140511937,0.17806121185601498,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-11,30.886999130249023,45.18895721435547,0.6790587025099047,0.20104447649319823,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-12,30.894500732421875,45.288795471191406,0.6813463800498101,0.03714388130937607,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-13,29.090499877929688,44.0444450378418,0.6662190488198239,-0.2527484009782839,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-14,29.649999618530273,44.70503616333008,0.6640326180327493,-0.03560258425453,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-15,28.50900077819824,43.813995361328125,0.6543665783779475,-0.1614134514613106,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-19,28.724000930786133,43.79095458984375,0.6555039123324589,0.018858872370508095,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-20,28.588499069213867,42.63877868652344,0.6662089784918047,0.1821618763269548,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-21,28.750999450683594,42.43906021118164,0.674257739917129,0.1361346284853049,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-22,29.819000244140625,43.7448616027832,0.6796428276974779,0.08811880719022369,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-25,29.826499938964844,42.75398254394531,0.6925251206736066,0.21829301844184457,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-26,30.0625,43.844730377197266,0.6875265010924442,-0.08191406757603659,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-27,29.167499542236328,43.813995361328125,0.6716941387452033,-0.26210433697730195,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-01-28,31.767499923706055,43.99834442138672,0.7082957457436568,0.6036597502736853,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-01-29,29.350000381469727,45.70359802246094,0.659249133266377,-0.7800570019925495,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-01,28.74049949645996,45.21199417114258,0.6419338593303981,-0.28261040984505925,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-02,27.604999542236328,43.80632781982422,0.6334226332106866,-0.14291997668728484,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-03,26.55349922180176,44.09820556640625,0.6106505514845614,-0.37509432680376875,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-04,26.812999725341797,44.85865783691406,0.6011551437072876,-0.15401317312431928,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-05,25.10650062561035,44.359378814697266,0.5755227197552384,-0.42332971647712014,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-08,24.405000686645508,43.429935455322266,0.5657288565730779,-0.16456703953653218,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-09,24.103500366210938,43.16878509521485,0.5604169695826615,-0.0890193574145357,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-10,24.52400016784668,42.64644241333008,0.5708976928454822,0.17724458600882187,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-11,25.19099998474121,40.7645263671875,0.603770109982237,0.5785974166506129,,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-12,25.354000091552734,44.159671783447266,0.5820028499329066,-0.34705473851533597,,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-16,26.05500030517578,44.82024765014648,0.5815028722131638,-0.008102436689700454,0.10055528123934623,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-17,26.704999923706055,45.14287185668945,0.5889060561236902,0.12008929648593991,0.5556152086369944,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-18,26.25,44.40545272827149,0.5905361895059429,0.026973152560277214,0.20894636343896866,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-19,26.7450008392334,44.41313552856445,0.5990390492359061,0.1397983586167051,0.6177621214480241,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-22,27.975000381469727,44.9892463684082,0.6157784990932642,0.2715897773942366,1.0794446182188064,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-23,27.64699935913086,43.1073112487793,0.6341141671952789,0.31204258658349815,1.1885600747806222,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-02-24,27.70199966430664,43.1226806640625,0.6400834266584472,0.0998864581555523,0.38865479247950774,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-25,27.75749969482422,43.79095458984375,0.6355628586105394,-0.07440458558119545,-0.2671210436635223,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-26,27.761499404907227,44.19806289672851,0.6301318243681128,-0.08910660174490204,-0.3187597169018753,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-02-29,27.625999450683594,43.245582580566406,0.6363828337916482,0.1052530590920071,0.4286491067244267,0,0.0,0.0,0.0,0.0,0.0,1.0
2016-03-01,28.95199966430664,45.47315979003906,0.6366055032080732,0.0035358937077027974,0.02944580914920635,0,0.0,0.0,-0.0,0.0,-0.0,1.0
2016-03-02,29.010499954223633,45.903316497802734,0.6331860061788287,-0.05483768938281841,-0.19976465209055969,0,0.0,0.0,-0.0,0.0,-0.0,1.0
