Date,AMZN,JPM,META,NVDA
2016-01-04,31.84950065612793,48.8682861328125,101.51091766357422,0.7895877361297607
2016-01-05,31.68950080871582,48.95276641845703,102.01737976074219,0.8022719025611877
2016-01-06,31.63249969482422,48.24610900878906,102.25572204589844,0.7690980434417725
2016-01-07,30.39699935913086,46.2950553894043,97.24073791503906,0.7386071681976318
2016-01-08,30.352500915527344,45.25807189941406,96.65483856201172,0.7227520942687988
2016-01-11,30.886999130249023,45.18895721435547,96.83358764648438,0.7239717841148376
2016-01-12,30.894500732421875,45.288795471191406,98.6806869506836,0.7361682057380676
2016-01-13,29.090499877929688,44.0444450378418,94.7779541015625,0.713726818561554
2016-01-14,29.649999618530273,44.70503616333008,97.68761444091797,0.6993350982666016
2016-01-15,28.509000778198242,43.813995361328125,94.31121063232422,0.6612828969955444
2016-01-19,28.724000930786133,43.79095458984375,94.59919738769531,0.6666491031646729
2016-01-20,28.588499069213867,42.63877868652344,93.69551849365234,0.6703081727027893
2016-01-21,28.750999450683594,42.43906021118164,93.50682830810547,0.6781136989593506
2016-01-22,29.819000244140625,43.7448616027832,97.26060485839844,0.6939688920974731
2016-01-25,29.826499938964844,42.75398254394531,96.33705139160156,0.6932370066642761
2016-01-26,30.0625,43.844730377197266,96.66476440429688,0.7000669836997986
2016-01-27,29.167499542236328,43.813995361328125,93.79480743408203,0.691773533821106
2016-01-28,31.767499923706055,43.99834442138672,108.35311889648438,0.6842119693756104
2016-01-29,29.350000381469727,45.70359802246094,111.43161010742188,0.7144585847854614
2016-02-01,28.74049949645996,45.21199417114258,114.2916259765625,0.714702844619751
2016-02-02,27.604999542236328,43.80632781982422,113.8149642944336,0.6844557523727417
2016-02-03,26.553499221801758,44.09820556640625,111.90828704833984,0.6878707408905029
2016-02-04,26.812999725341797,44.85865783691406,109.72354888916016,0.688114583492279
2016-02-05,25.10650062561035,44.359378814697266,103.34809112548828,0.6446956992149353
2016-02-08,24.405000686645508,43.429935455322266,99.05804443359375,0.6151808500289917
2016-02-09,24.103500366210938,43.168785095214844,98.8495101928711,0.6217668652534485
2016-02-10,24.52400016784668,42.64644241333008,100.29936981201172,0.620303213596344
2016-02-11,25.19099998474121,40.7645263671875,101.20307159423828,0.617132306098938
2016-02-12,25.354000091552734,44.159671783447266,101.3023681640625,0.6276211142539978
2016-02-16,26.05500030517578,44.820247650146484,100.90514373779297,0.6583555936813354
2016-02-17,26.704999923706055,45.14287185668945,104.47024536132812,0.6746987700462341
2016-02-18,26.25,44.405452728271484,102.75224304199219,0.7327530384063721
2016-02-19,26.7450008392334,44.41313552856445,103.8446044921875,0.742510199546814
2016-02-22,27.975000381469727,44.9892463684082,106.4166488647461,0.768854022026062
2016-02-23,27.64699935913086,43.1073112487793,104.72843933105469,0.7708056569099426
2016-02-24,27.70199966430664,43.1226806640625,106.13858032226562,0.7761717438697815
2016-02-25,27.75749969482422,43.79095458984375,107.3203353881836,0.7778793573379517
2016-02-26,27.761499404907227,44.198062896728516,107.1713638305664,0.7727566957473755
2016-02-29,27.625999450683594,43.245582580566406,106.17830657958984,0.7677382230758667
2016-03-01,28.95199966430664,45.47315979003906,109.05819702148438,0.8017675876617432
2016-03-02,29.010499954223633,45.903316497802734,109.18729400634766,0.8064188957214355
2016-03-03,28.874500274658203,46.05691909790039,108.81987762451172,0.799319326877594
2016-03-04,28.756999969482422,46.126060485839844,107.63811492919922,0.7968711853027344
2016-03-07,28.139999389648438,46.041568756103516,104.99656677246094,0.7917299866676331
2016-03-08,28.01300048828125,45.15053939819336,105.1951675415039,0.7772858738899231
2016-03-09,27.973499298095703,45.41170883178711,106.76422882080078,0.776796281337738
2016-03-10,27.946500778198242,45.01996994018555,106.57554626464844,0.7755721807479858
2016-03-11,28.480499267578125,45.580692291259766,108.65103912353516,0.7887921929359436
2016-03-14,28.668500900268555,45.41170883178711,109.1277084350586,0.7907506227493286
2016-03-15,28.85099983215332,45.47315979003906,109.90229797363281,0.7868335843086243
2016-03-16,28.713499069213867,45.25807189941406,111.40181732177734,0.8103359937667847
2016-03-17,27.972000122070312,45.12749099731445,110.24987030029297,0.8034811019897461
2016-03-18,27.604000091552734,46.456363677978516,110.67688751220703,0.8277179002761841
2016-03-21,27.698999404907227,46.441001892089844,111.07410430908203,0.8301658630371094
2016-03-22,28.02400016784668,46.272010803222656,111.4713363647461,0.8286969661712646
2016-03-23,28.48150062561035,46.041568756103516,111.75933074951172,0.8428962826728821
2016-03-24,29.147499084472656,45.688232421875,112.26579284667969,0.8441203832626343
2016-03-28,28.993499755859375,45.62678146362305,112.90135192871094,0.8526888489723206
